ED766	1223346393	1223346393	5498578	444.96827834396456683891	40	.08989404851255403995
ED017	1027303441	1027303441	5498578	373.66149611772352779209	40	.10704876048400192207
ED644	420582126	420582488	5498578	152.97857264187213494107	40	.26147452750550441010
ED676	406453110	406451603	5498578	147.83908003123716713666	40	.27056445421297489758
ED392	309477549	309478413	5498578	112.56655120651193817747	40	.35534534523152391898
ED669	298086834	298087051	5498578	108.42328416546969052725	40	.36892444559190981671
ED604	247392605	247392614	5498578	89.98421391858040387896	40	.44452241407801634429
ED180	243538770	243539592	5498578	88.58260481164402869250	40	.45155592438327202882
ED603	238673080	238673256	5498578	86.81268793495336430618	40	.46076214147373281608
ED653	237329921	237329351	5498578	86.32400449716272097986	40	.46337053329488104890
ED680	228335140	228355313	5498578	83.05610159572165749035	40	.48160218492677796354
ED608	218578101	218578046	5498578	79.50349108442219061000	40	.50312256046121661878
ED664	217062084	217081183	5498578	78.95555305389866252692	40	.50661414495689967708
ED414	215599658	215599220	5498578	78.42007115294172420578	40	.51007349791851731116
ED729	206177833	206177663	5498578	74.99311567463442366371	40	.53338229302999274199
ED195	198713889	198714253	5498578	72.27834942052290610408	40	.55341606886006577762
ED040	194606793	194606714	5498578	70.78439316492373119013	40	.56509631871537284547
ED668	188969932	188986587	5498578	68.73713876569542161627	40	.58192704436459263717
ED654	186130652	186147470	5498578	67.70443594689390602443	40	.59080323823058288663
ED647	180350738	180351795	5498578	65.59923911236687012533	40	.60976317014108686616
ED449	171696714	171697564	5498578	62.45146981637797990680	40	.64049733525262759328
ED075	162375018	162374614	5498578	59.06065750090296072911	40	.67726980518949441026
ED636	161819525	161819292	5498578	58.85863890627722294746	40	.67959437634454089603
ED082	160756747	160756675	5498578	58.47210351476327152220	40	.68408689948875602462
ED287	157499755	157500224	5498578	57.28753488629241960375	40	.69823217353293855298
ED413	156799383	156813123	5498578	57.03520182854548939744	40	.70132126682473561816
ED010	154294740	154295364	5498578	56.12180167308711452306	40	.71273549329371884200
ED657	151916739	151916796	5498578	55.25674728993568882718	40	.72389349648319761674
ED142	151240363	151240740	5498578	55.01078697074043507248	40	.72713011761266950947
ED679	148214518	148214944	5498578	53.91020405639421683206	40	.74197456121955920832
ED666	148100527	148100477	5498578	53.86865549602097124020	40	.74254684160354837959
ED411	141769256	141768488	5498578	51.56564915510882995567	40	.77571019962689693968
ED415	140365511	140364909	5498578	51.05509460809685704194	40	.78346735633423695230
ED423	138891658	138891335	5498578	50.51906020065551493495	40	.79178036648197537420
ED699	132936949	132937166	5498578	48.35324969473925804089	40	.82724532999385818359
ED672	129959450	129960014	5498578	47.27030588635825480697	40	.84619718975720879449
ED728	128835290	128835538	5498578	46.86135724545509766343	40	.85358176440524342165
ED178	120721517	120721517	5498578	43.91008620774316559663	40	.91095243609306201809
ED073	97946951	97947007	5498578	35.62629428917803839465	40	1.12276622640908608319
